"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Αγία Μαρίνα Μπαούζι","265","POINT (25.426994790617162 37.014887426174397)","264","Ag Marina Mpaouzi","                      626798.250","                     4097187.240","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_mpaoyzi.htm"
"Αγία Μαρίνα Πετρονιά","266","POINT (25.517088428164101 36.992439150069345)","265","Ag Marina Petronia","                      634853.330","                     4094820.720","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_petronia.htm"
"Αγία Μαρίνα Ποταμιάς","267","POINT (25.439585955585656 37.064492804139441)","266","Ag Marina Potamia","                      627835.140","                     4102707.540","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_potamia.htm"
"Αγία Μαρίνα Σαγκρίου","268","POINT (25.443918301037957 37.048799080513362)","267","Ag Marina Sagkri","                      628246.770","                     4100972.250","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_sagkri.htm"
"Αγία Μαρίνα Σκεπόνι","269","POINT (25.491663520988091 37.143102872668116)","268","Ag Marina Skeponi","                      632328.320","                     4111500.410","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_skeponi.htm"
"Αγία Μαρίνα Τραγαίας","270","POINT (25.483287497203015 37.066312331356635)","269","Ag Marina Tragaia","                      631717.460","                     4102969.150","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/marina_tragaia.htm"
"Άγιος Ματθαίος Γλινάδου","271","POINT (25.389623683200675 37.078977497494591)","270","Ag Mattheos Glinado","                      623369.560","                     4104248.420","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/mattheos_glinado.htm"
"Άγιος Ματθαίος Πλάκας","272","POINT (25.384399357500211 37.051520546138072)","271","Ag Mattheos Plaka","                      622949.530","                     4101195.460","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/mattheos_plaka.htm"
"Άγιος Νικόλαος Κωμιακής","273","POINT (25.532186979949021 37.137804971952917)","272","Ag Nikolaos Komiakh","                      635937.020","                     4110969.980","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/nikolaos_komiakh.htm"
"Άγιος Νικόλαος Μονής","274","POINT (25.49618180688131 37.07472809501003)","273","Ag Nikolaos Monh","                      632849.160","                     4103920.810","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/nikolaos_monh.htm"
"Άγιος Νικόλαος Σαγκρίου","275","POINT (25.417571095148077 37.042756531202258)","274","Ag Nikolaos Sagkri","                      625913.780","                     4100266.610","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/nikolaos_sagkri1.htm"
"Άγιος Νικόλαος Τορεντίνο","276","POINT (25.434024803670997 37.047285750760594)","275","Ag Nikolaos Torentino","                      627369.500","                     4100791.040","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/nikolaos_torentino_sagkri"
